Fiscal Year,Month (abbv),Component,Region,Land Filter,Area of Responsibility,Inbound/Outbound,Count of Seizure Events,Currency Seizures Amount (USD)
2022,AUG,U.S. Border Patrol,Southwest Border,Land Only,RIO GRANDE VALLEY SECTOR,Other,5,55949.25
2022,AUG,U.S. Border Patrol,Southwest Border,Land Only,SAN DIEGO SECTOR,Other,6,25928.0
2022,AUG,U.S. Border Patrol,Southwest Border,Land Only,TUCSON SECTOR,Other,11,27696.08
2022,AUG,U.S. Border Patrol,Southwest Border,Land Only,YUMA SECTOR,Other,2,28608.0
2022,DEC,Office of Field Operations,Central/Coastal/Other,Other,ATLANTA FIELD OFFICE,Other,1,49810.0
2022,DEC,Office of Field Operations,Central/Coastal/Other,Other,ATLANTA FIELD OFFICE,Outbound,3,46067.0
2022,DEC,Office of Field Operations,Central/Coastal/Other,Other,BALTIMORE FIELD OFFICE,Inbound,2,44932.0
2022,DEC,Office of Field Operations,Central/Coastal/Other,Other,BALTIMORE FIELD OFFICE,Other,4,86110.0
2022,DEC,Office of Field Operations,Central/Coastal/Other,Other,BALTIMORE FIELD OFFICE,Outbound,3,53977.0
2022,DEC,Office of Field Operations,Central/Coastal/Other,Other,CHICAGO FIELD OFFICE,Inbound,1,14200.0
2022,DEC,Office of Field Operations,Central/Coastal/Other,Other,CHICAGO FIELD OFFICE,Outbound,5,306589.0
2022,DEC,Office of Field Operations,Central/Coastal/Other,Other,HOUSTON FIELD OFFICE,Inbound,5,95052.0
2022,DEC,Office of Field Operations,Central/Coastal/Other,Other,HOUSTON FIELD OFFICE,Outbound,16,485360.0
2022,DEC,Office of Field Operations,Central/Coastal/Other,Other,LOS ANGELES FIELD OFFICE,Inbound,2,26993.0
2022,DEC,Office of Field Operations,Central/Coastal/Other,Other,LOS ANGELES FIELD OFFICE,Outbound,3,80925.0
2022,DEC,Office of Field Operations,Central/Coastal/Other,Other,MIAMI FIELD OFFICE,Inbound,3,38566.0
2022,DEC,Office of Field Operations,Central/Coastal/Other,Other,MIAMI FIELD OFFICE,Outbound,4,151202.0
2022,DEC,Office of Field Operations,Central/Coastal/Other,Other,NEW YORK FIELD OFFICE,Outbound,5,207724.73
2022,DEC,Office of Field Operations,Central/Coastal/Other,Other,PRECLEARANCE FIELD OFFICE,Inbound,1,37209.0
2022,DEC,Office of Field Operations,Central/Coastal/Other,Other,SAN FRANCISCO FIELD OFFICE,Inbound,3,40789.0
2022,DEC,Office of Field Operations,Central/Coastal/Other,Other,SAN JUAN FIELD OFFICE,Other,1,17980.0
2022,DEC,Office of Field Operations,Central/Coastal/Other,Other,SAN JUAN FIELD OFFICE,Outbound,7,127525.0
2022,DEC,Office of Field Operations,Central/Coastal/Other,Other,TAMPA FIELD OFFICE,Inbound,1,21110.0
2022,DEC,Office of Field Operations,Central/Coastal/Other,Other,TAMPA FIELD OFFICE,Outbound,1,16625.0
2022,DEC,Office of Field Operations,Northern Border,Land Only,DETROIT FIELD OFFICE,Inbound,3,67453.6
2022,DEC,Office of Field Operations,Northern Border,Other,BOSTON FIELD OFFICE,Inbound,4,94961.0
2022,DEC,Office of Field Operations,Northern Border,Other,BOSTON FIELD OFFICE,Outbound,17,561782.0
2022,DEC,Office of Field Operations,Northern Border,Other,DETROIT FIELD OFFICE,Inbound,7,94021.66
2022,DEC,Office of Field Operations,Northern Border,Other,DETROIT FIELD OFFICE,Outbound,14,441641.0
2022,DEC,Office of Field Operations,Northern Border,Other,SEATTLE FIELD OFFICE,Outbound,5,132936.0
2022,DEC,Office of Field Operations,Southwest Border,Land Only,EL PASO FIELD OFFICE,Inbound,7,60080.0
2022,DEC,Office of Field Operations,Southwest Border,Land Only,LAREDO FIELD OFFICE,Inbound,14,82851.0
2022,DEC,Office of Field Operations,Southwest Border,Land Only,LAREDO FIELD OFFICE,Outbound,5,626577.0
2022,DEC,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Inbound,18,27860.0
2022,DEC,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Outbound,1,14902.0
2022,DEC,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Inbound,2,24699.0
2022,DEC,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Outbound,1,38640.0
2022,DEC,Office of Field Operations,Southwest Border,Other,SAN DIEGO FIELD OFFICE,Inbound,1,258.0
2022,DEC,U.S. Border Patrol,Central/Coastal/Other,Other,NEW ORLEANS SECTOR,Other,1,13600.0
2022,DEC,U.S. Border Patrol,Central/Coastal/Other,Other,RAMEY SECTOR,Other,1,8800.0
2022,DEC,U.S. Border Patrol,Northern Border,Land Only,BLAINE SECTOR,Other,1,16002.0
2022,DEC,U.S. Border Patrol,Northern Border,Land Only,HOULTON SECTOR,Other,1,831.0
2022,DEC,U.S. Border Patrol,Northern Border,Land Only,SWANTON SECTOR,Other,1,20000.0
2022,DEC,U.S. Border Patrol,Southwest Border,Land Only,EL PASO SECTOR,Other,1,1307.63
2022,DEC,U.S. Border Patrol,Southwest Border,Land Only,LAREDO SECTOR,Other,3,20000.0
2022,DEC,U.S. Border Patrol,Southwest Border,Land Only,RIO GRANDE VALLEY SECTOR,Other,7,854532.94
2022,DEC,U.S. Border Patrol,Southwest Border,Land Only,SAN DIEGO SECTOR,Other,5,5642.0
2022,DEC,U.S. Border Patrol,Southwest Border,Land Only,TUCSON SECTOR,Other,8,13983.0
2022,FEB,Office of Field Operations,Central/Coastal/Other,Other,ATLANTA FIELD OFFICE,Inbound,1,17500.0
2022,FEB,Office of Field Operations,Central/Coastal/Other,Other,ATLANTA FIELD OFFICE,Outbound,1,17471.0
2022,FEB,Office of Field Operations,Central/Coastal/Other,Other,BALTIMORE FIELD OFFICE,Inbound,2,47898.0
2022,FEB,Office of Field Operations,Central/Coastal/Other,Other,BALTIMORE FIELD OFFICE,Other,1,500000.0
2022,FEB,Office of Field Operations,Central/Coastal/Other,Other,BALTIMORE FIELD OFFICE,Outbound,2,52066.0
2022,FEB,Office of Field Operations,Central/Coastal/Other,Other,CHICAGO FIELD OFFICE,Inbound,1,19289.0
2022,FEB,Office of Field Operations,Central/Coastal/Other,Other,CHICAGO FIELD OFFICE,Other,1,15000.0
2022,FEB,Office of Field Operations,Central/Coastal/Other,Other,CHICAGO FIELD OFFICE,Outbound,4,103246.0
2022,FEB,Office of Field Operations,Central/Coastal/Other,Other,HOUSTON FIELD OFFICE,Inbound,6,98217.0
2022,FEB,Office of Field Operations,Central/Coastal/Other,Other,HOUSTON FIELD OFFICE,Outbound,7,140846.0
2022,FEB,Office of Field Operations,Central/Coastal/Other,Other,LOS ANGELES FIELD OFFICE,Outbound,1,52217.21
2022,FEB,Office of Field Operations,Central/Coastal/Other,Other,MIAMI FIELD OFFICE,Inbound,2,18723.0
2022,FEB,Office of Field Operations,Central/Coastal/Other,Other,MIAMI FIELD OFFICE,Outbound,6,74898.0
2022,FEB,Office of Field Operations,Central/Coastal/Other,Other,NEW YORK FIELD OFFICE,Inbound,2,6367.0
2022,FEB,Office of Field Operations,Central/Coastal/Other,Other,NEW YORK FIELD OFFICE,Outbound,3,118775.0
2022,FEB,Office of Field Operations,Central/Coastal/Other,Other,PRECLEARANCE FIELD OFFICE,Inbound,14,311021.0
2022,FEB,Office of Field Operations,Central/Coastal/Other,Other,SAN FRANCISCO FIELD OFFICE,Inbound,2,58412.0
2022,FEB,Office of Field Operations,Central/Coastal/Other,Other,SAN FRANCISCO FIELD OFFICE,Outbound,6,217074.79
2022,FEB,Office of Field Operations,Central/Coastal/Other,Other,SAN JUAN FIELD OFFICE,Other,8,168679.0
2022,FEB,Office of Field Operations,Central/Coastal/Other,Other,SAN JUAN FIELD OFFICE,Outbound,3,44631.0
2022,FEB,Office of Field Operations,Central/Coastal/Other,Other,TAMPA FIELD OFFICE,Outbound,1,12765.0
2022,FEB,Office of Field Operations,Northern Border,Land Only,DETROIT FIELD OFFICE,Inbound,1,11539.0
2022,FEB,Office of Field Operations,Northern Border,Land Only,SEATTLE FIELD OFFICE,Inbound,1,50000.0
2022,FEB,Office of Field Operations,Northern Border,Other,BOSTON FIELD OFFICE,Inbound,1,32292.0
2022,FEB,Office of Field Operations,Northern Border,Other,BOSTON FIELD OFFICE,Outbound,10,241351.0
2022,FEB,Office of Field Operations,Northern Border,Other,DETROIT FIELD OFFICE,Inbound,3,77839.0
2022,FEB,Office of Field Operations,Northern Border,Other,DETROIT FIELD OFFICE,Outbound,11,475128.0
2022,FEB,Office of Field Operations,Northern Border,Other,SEATTLE FIELD OFFICE,Outbound,7,132090.0
2022,FEB,Office of Field Operations,Southwest Border,Land Only,EL PASO FIELD OFFICE,Inbound,20,117663.0
2022,FEB,Office of Field Operations,Southwest Border,Land Only,LAREDO FIELD OFFICE,Inbound,10,87377.0
2022,FEB,Office of Field Operations,Southwest Border,Land Only,LAREDO FIELD OFFICE,Outbound,5,307239.0
2022,FEB,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Inbound,18,62913.0
2022,FEB,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Outbound,1,29786.0
2022,FEB,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Inbound,8,64889.0
2022,FEB,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Outbound,4,70664.0
2022,FEB,U.S. Border Patrol,Northern Border,Land Only,BLAINE SECTOR,Other,1,499.5
2022,FEB,U.S. Border Patrol,Northern Border,Land Only,DETROIT SECTOR,Other,1,203.0
2022,FEB,U.S. Border Patrol,Northern Border,Land Only,HAVRE SECTOR,Other,1,11262.0
2022,FEB,U.S. Border Patrol,Northern Border,Land Only,HOULTON SECTOR,Other,1,37553.47
2022,FEB,U.S. Border Patrol,Southwest Border,Land Only,EL CENTRO SECTOR,Other,3,116400.0
2022,FEB,U.S. Border Patrol,Southwest Border,Land Only,EL PASO SECTOR,Other,3,10540.0
2022,FEB,U.S. Border Patrol,Southwest Border,Land Only,LAREDO SECTOR,Other,1,2600.0
2022,FEB,U.S. Border Patrol,Southwest Border,Land Only,RIO GRANDE VALLEY SECTOR,Other,3,7660.0
2022,FEB,U.S. Border Patrol,Southwest Border,Land Only,SAN DIEGO SECTOR,Other,7,26825.0
2022,FEB,U.S. Border Patrol,Southwest Border,Land Only,TUCSON SECTOR,Other,10,14711.0
2022,JAN,Office of Field Operations,Central/Coastal/Other,Other,ATLANTA FIELD OFFICE,Inbound,1,47316.0
2022,JAN,Office of Field Operations,Central/Coastal/Other,Other,BALTIMORE FIELD OFFICE,Inbound,1,4314.0
2022,JAN,Office of Field Operations,Central/Coastal/Other,Other,BALTIMORE FIELD OFFICE,Other,1,5540.0
2022,JAN,Office of Field Operations,Central/Coastal/Other,Other,CHICAGO FIELD OFFICE,Inbound,3,299068.0
2022,JAN,Office of Field Operations,Central/Coastal/Other,Other,CHICAGO FIELD OFFICE,Other,1,18000.0
2022,JAN,Office of Field Operations,Central/Coastal/Other,Other,CHICAGO FIELD OFFICE,Outbound,4,61396.0
2022,JAN,Office of Field Operations,Central/Coastal/Other,Other,HOUSTON FIELD OFFICE,Inbound,8,143311.0
2022,JAN,Office of Field Operations,Central/Coastal/Other,Other,HOUSTON FIELD OFFICE,Outbound,10,159445.8
2022,JAN,Office of Field Operations,Central/Coastal/Other,Other,MIAMI FIELD OFFICE,Inbound,5,7089481.03
2022,JAN,Office of Field Operations,Central/Coastal/Other,Other,MIAMI FIELD OFFICE,Outbound,1,19080.0
2022,JAN,Office of Field Operations,Central/Coastal/Other,Other,NEW ORLEANS FIELD OFFICE,Inbound,1,17426.23
2022,JAN,Office of Field Operations,Central/Coastal/Other,Other,NEW YORK FIELD OFFICE,Inbound,3,44612.0
2022,JAN,Office of Field Operations,Central/Coastal/Other,Other,NEW YORK FIELD OFFICE,Outbound,4,83286.0
2022,JAN,Office of Field Operations,Central/Coastal/Other,Other,PRECLEARANCE FIELD OFFICE,Inbound,3,125285.0
2022,JAN,Office of Field Operations,Central/Coastal/Other,Other,SAN FRANCISCO FIELD OFFICE,Inbound,2,42377.0
2022,JAN,Office of Field Operations,Central/Coastal/Other,Other,SAN FRANCISCO FIELD OFFICE,Outbound,3,84909.0
2022,JAN,Office of Field Operations,Central/Coastal/Other,Other,SAN JUAN FIELD OFFICE,Other,1,650.0
2022,JAN,Office of Field Operations,Central/Coastal/Other,Other,SAN JUAN FIELD OFFICE,Outbound,3,61320.0
2022,JAN,Office of Field Operations,Central/Coastal/Other,Other,TAMPA FIELD OFFICE,Inbound,2,35876.0
2022,JAN,Office of Field Operations,Central/Coastal/Other,Other,TAMPA FIELD OFFICE,Outbound,1,11498.0
2022,JAN,Office of Field Operations,Northern Border,Land Only,DETROIT FIELD OFFICE,Outbound,1,5384.0
2022,JAN,Office of Field Operations,Northern Border,Land Only,SEATTLE FIELD OFFICE,Inbound,1,19896.49
2022,JAN,Office of Field Operations,Northern Border,Other,BOSTON FIELD OFFICE,Inbound,4,95356.0
2022,JAN,Office of Field Operations,Northern Border,Other,BOSTON FIELD OFFICE,Outbound,5,96704.0
2022,JAN,Office of Field Operations,Northern Border,Other,DETROIT FIELD OFFICE,Inbound,1,16934.0
2022,JAN,Office of Field Operations,Northern Border,Other,DETROIT FIELD OFFICE,Outbound,24,546572.0
2022,JAN,Office of Field Operations,Northern Border,Other,SEATTLE FIELD OFFICE,Inbound,2,31404.0
2022,JAN,Office of Field Operations,Northern Border,Other,SEATTLE FIELD OFFICE,Outbound,1,15088.0
2022,JAN,Office of Field Operations,Southwest Border,Land Only,EL PASO FIELD OFFICE,Inbound,10,105011.0
2022,JAN,Office of Field Operations,Southwest Border,Land Only,LAREDO FIELD OFFICE,Inbound,6,34919.0
2022,JAN,Office of Field Operations,Southwest Border,Land Only,LAREDO FIELD OFFICE,Outbound,7,411163.0
2022,JAN,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Inbound,15,53015.14
2022,JAN,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Outbound,2,282390.0
2022,JAN,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Inbound,4,28532.0
2022,JAN,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Outbound,1,10220.0
2022,JAN,Office of Field Operations,Southwest Border,Other,LAREDO FIELD OFFICE,Inbound,1,16129.0
2022,JAN,Office of Field Operations,Southwest Border,Other,TUCSON FIELD OFFICE,Inbound,2,26983.0
2022,JAN,U.S. Border Patrol,Central/Coastal/Other,Other,NEW ORLEANS SECTOR,Other,1,4668.0
2022,JAN,U.S. Border Patrol,Northern Border,Land Only,BUFFALO SECTOR,Other,1,678.0
2022,JAN,U.S. Border Patrol,Southwest Border,Land Only,BIG BEND SECTOR,Other,1,1203.56
2022,JAN,U.S. Border Patrol,Southwest Border,Land Only,DEL RIO SECTOR,Other,2,2652.0
2022,JAN,U.S. Border Patrol,Southwest Border,Land Only,EL CENTRO SECTOR,Other,1,129.05
2022,JAN,U.S. Border Patrol,Southwest Border,Land Only,EL PASO SECTOR,Other,5,19255.0
2022,JAN,U.S. Border Patrol,Southwest Border,Land Only,LAREDO SECTOR,Other,1,18900.0
2022,JAN,U.S. Border Patrol,Southwest Border,Land Only,RIO GRANDE VALLEY SECTOR,Other,3,133158.5
2022,JAN,U.S. Border Patrol,Southwest Border,Land Only,SAN DIEGO SECTOR,Other,7,265136.0
2022,JAN,U.S. Border Patrol,Southwest Border,Land Only,TUCSON SECTOR,Other,12,20092.0
2022,JAN,U.S. Border Patrol,Southwest Border,Land Only,YUMA SECTOR,Other,2,14068.0
2022,JUL,Office of Field Operations,Central/Coastal/Other,Other,ATLANTA FIELD OFFICE,Outbound,2,46833.0
2022,JUL,Office of Field Operations,Central/Coastal/Other,Other,BALTIMORE FIELD OFFICE,Inbound,2,46171.0
2022,JUL,Office of Field Operations,Central/Coastal/Other,Other,BALTIMORE FIELD OFFICE,Other,1,105713.0
2022,JUL,Office of Field Operations,Central/Coastal/Other,Other,BALTIMORE FIELD OFFICE,Outbound,4,89426.0
2022,JUL,Office of Field Operations,Central/Coastal/Other,Other,CHICAGO FIELD OFFICE,Inbound,2,42177.0
2022,JUL,Office of Field Operations,Central/Coastal/Other,Other,CHICAGO FIELD OFFICE,Outbound,2,34000.0
2022,JUL,Office of Field Operations,Central/Coastal/Other,Other,HOUSTON FIELD OFFICE,Inbound,12,243737.0
2022,JUL,Office of Field Operations,Central/Coastal/Other,Other,HOUSTON FIELD OFFICE,Outbound,6,110320.0
2022,JUL,Office of Field Operations,Central/Coastal/Other,Other,LOS ANGELES FIELD OFFICE,Inbound,3,91761.0
2022,JUL,Office of Field Operations,Central/Coastal/Other,Other,LOS ANGELES FIELD OFFICE,Outbound,4,238842.0
2022,JUL,Office of Field Operations,Central/Coastal/Other,Other,MIAMI FIELD OFFICE,Inbound,17,797807.58
2022,JUL,Office of Field Operations,Central/Coastal/Other,Other,NEW YORK FIELD OFFICE,Inbound,2,19502.0
2022,JUL,Office of Field Operations,Central/Coastal/Other,Other,PRECLEARANCE FIELD OFFICE,Inbound,23,478039.0
2022,JUL,Office of Field Operations,Central/Coastal/Other,Other,SAN FRANCISCO FIELD OFFICE,Inbound,1,15263.0
2022,JUL,Office of Field Operations,Central/Coastal/Other,Other,SAN JUAN FIELD OFFICE,Inbound,1,1042.0
2022,JUL,Office of Field Operations,Central/Coastal/Other,Other,SAN JUAN FIELD OFFICE,Other,1,2175.0
2022,JUL,Office of Field Operations,Central/Coastal/Other,Other,SAN JUAN FIELD OFFICE,Outbound,5,124183.0
2022,JUL,Office of Field Operations,Central/Coastal/Other,Other,TAMPA FIELD OFFICE,Other,1,12587.4
2022,JUL,Office of Field Operations,Northern Border,Other,BOSTON FIELD OFFICE,Inbound,1,13752.0
2022,JUL,Office of Field Operations,Northern Border,Other,BOSTON FIELD OFFICE,Outbound,5,154956.0
2022,JUL,Office of Field Operations,Northern Border,Other,DETROIT FIELD OFFICE,Inbound,2,36289.15
2022,JUL,Office of Field Operations,Northern Border,Other,DETROIT FIELD OFFICE,Outbound,3,84332.0
2022,JUL,Office of Field Operations,Northern Border,Other,SEATTLE FIELD OFFICE,Inbound,1,15936.0
2022,JUL,Office of Field Operations,Northern Border,Other,SEATTLE FIELD OFFICE,Outbound,1,10846.0
2022,JUL,Office of Field Operations,Southwest Border,Land Only,EL PASO FIELD OFFICE,Inbound,22,171784.0
2022,JUL,Office of Field Operations,Southwest Border,Land Only,EL PASO FIELD OFFICE,Outbound,2,62024.0
2022,JUL,Office of Field Operations,Southwest Border,Land Only,LAREDO FIELD OFFICE,Inbound,14,161508.0
